Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0,0.36584,58,1,0.052797,14704.404955072641,14,0,1,0,0.0
2,0,0.452784,50,0,0.629526,4507.003998641789,8,0,1,1,0.0
3,0,0.294839,61,1,0.827728,,12,0,2,0,0.0
4,0,0.657098,73,1,0.046464,14966.485069512253,9,0,2,0,0.0
5,0,0.2128,48,0,0.402226,4489.329093224765,9,0,0,0,0.0
6,0,0.226937,48,2,0.874778,3209.177343965918,11,0,3,0,0.0
7,0,0.091541,74,1,1.001696,10002.604594403732,9,0,1,0,1.0
8,0,0.307845,62,0,0.317518,7616.607685225603,5,0,0,0,1.0
9,0,0.07705,45,0,0.248885,,9,1,1,0,1.0
10,0,0.017527,59,0,0.197447,3053.738111725207,5,0,3,0,0.0
11,0,0.284387,45,1,0.001453,,9,1,2,0,1.0
12,0,0.040405,45,0,0.190981,,7,1,1,1,0.0
13,0,0.292586,55,1,0.477071,,9,0,0,0,1.0
14,0,0.058675,25,0,0.633547,4035.533364039029,3,1,0,0,2.0
15,0,0.068325,27,0,0.030619,2591.2461232697965,9,0,0,0,1.0
16,0,0.392461,44,1,0.011742,9427.088804277386,7,0,2,0,1.0
17,0,0.178854,37,0,0.51805,3220.261127419107,8,1,0,1,1.0
18,0,0.017926,56,0,0.266196,7268.6761725153965,12,0,2,1,1.0
19,0,43.873702,39,0,0.336229,5027.453814715997,3,1,1,1,0.0
20,0,0.293975,32,1,0.74936,,14,1,0,0,1.0
21,0,0.063913,72,0,0.290538,22230.0743652328,10,0,4,0,0.0
22,0,0.308893,48,1,0.95812,5436.537306519399,9,0,2,0,0.0
23,0,0.289821,52,0,0.979165,,5,1,0,0,0.0
24,0,0.364664,32,0,0.303043,,12,0,1,0,1.0
25,0,0.248986,44,0,0.033715,,6,0,0,0,0.0
26,0,0.524902,53,0,0.238717,,6,1,1,0,0.0
27,1,0.464793,35,1,0.14463,5282.434252858055,8,0,0,1,1.0
28,0,0.346462,57,0,0.195902,9708.469711017598,6,2,4,0,0.0
29,0,0.044578,43,0,0.307991,7440.586203385649,13,1,1,0,2.0
30,0,0.024947,47,2,0.007069,10613.642566304583,6,0,2,0,0.0
31,0,0.390398,43,2,0.56158,5402.963059766718,6,0,2,1,2.0
32,0,0.186676,77,0,0.278471,3547.2842344936744,7,0,1,1,0.0
33,0,0.486385,51,1,0.462724,5463.412938338913,11,0,0,0,1.0
34,0,0.28138,37,0,0.132487,2099.336034128776,11,0,1,0,0.0
35,0,0.243042,63,0,0.431256,,11,0,0,0,1.0
36,0,0.179571,34,0,0.454296,5112.192395872075,8,0,1,0,0.0
37,0,0.098796,54,0,0.064951,,11,0,1,0,1.0
38,0,0.371307,24,1,0.140896,19529.087521337104,8,0,0,0,
