实际值	预测值
1	1.0165942
1	1.023636
1	1.1128253
1	0.99743956
1	1.0553151
1	1.0010312
1	0.99884814
1	1.0003505
1	0.9997353
1	1.0066549
1	1.1237
1	1.0885782
1	0.9766508
1	0.98631227
1	0.99945325
1	1.0006677
1	1.0427043
1	0.98562485
1	1.1914432
1	0.99931073
1	0.93429536
1	1.0038534
1	1.0430025
1	0.9888738
1	1.0027659
1	1.0034226
1	0.99575174
1	0.9540686
1	0.9983027
1	0.98912597
1	0.9572125
1	1.0149708
1	1.002528
1	0.98869026
1	0.98135704
1	1.0079578
1	1.03919
1	0.9790848
1	1.0459651
1	1.0012261
1	1.001126
1	1.0018528
1	0.9981219
1	1.0092553
1	0.990913
2	1.1351357
1	1.0008394
1	0.98959637
1	0.98961455
1	0.968
1	1.0028641
1	1.0679721
1	0.9999741
1	0.98867834
1	0.99928665
1	0.9998893
1	0.96338266
1	1.0009903
2	1.4473355
1	0.9923123
1	0.99996287
1	1.0033385
1	0.97903734
1	0.99820644
