UserID,Age,Gender,CityTier,Tenure,AvgSessionDuration,PageViewsPerSession,BounceRate,TotalTransactions,AvgOrderValue,DaysSinceLastPurchase,HighValuePurchase
10001,22,Male,3,40,7.65,2,38.78,108,498.91,54,0
10002,59,Male,2,26,13.73,15,5.8,104,140.91,182,0
10003,52,Male,1,62,9.37,11,46.67,25,67.83,186,0
10004,41,Male,3,80,5.2,9,62.32,20,464.93,228,0
10005,40,Female,1,31,10.65,23,58.89,19,118.1,236,0
10006,63,Male,3,92,17.1,19,47.71,95,227.19,310,0
10007,22,Female,2,77,13.64,15,23.75,28,337.34,194,0
10008,54,Male,1,20,19.87,23,33.38,54,253.29,256,1
10009,28,Female,1,113,12.51,4,69.04,94,31.54,329,0
10010,22,Male,3,5,21.59,17,20.46,51,301.02,37,1
10011,45,Female,1,79,12.51,5,24.36,7,161.79,235,0
10012,69,Female,3,53,11.89,7,54.67,43,135.39,134,0
10013,56,Male,3,79,6.68,6,34.75,11,160.73,331,0
10014,58,Female,2,93,16.24,15,23.86,46,49.85,202,0
10015,56,Male,1,83,9.79,17,63.16,88,203.3,220,0
10016,59,Male,2,78,9.21,20,47.69,62,60.37,276,0
10017,45,Female,3,101,16.92,12,35.46,80,140.03,88,0
10018,24,Female,1,84,16.43,24,24.39,12,197.68,198,0
10019,62,Male,2,98,16.33,10,70.69,90,404.45,282,0
10020,41,Male,1,48,10.35,5,40.65,51,92.34,284,0
10021,44,Female,2,24,11.6,2,61.26,34,542.95,83,0
10022,37,Female,3,28,11.56,5,53.96,78,366.26,306,0
10023,27,Female,2,74,14.93,12,33.45,16,125.19,59,0
10024,67,Female,2,64,18.01,11,33.56,59,73.7,97,0
10025,59,Female,1,9,13.27,22,61.97,50,56.75,313,0
10026,52,Male,1,24,19.7,5,62.21,19,216.32,225,0
10027,39,Female,1,117,15.39,8,13.78,114,98.47,198,0
10028,61,Male,3,87,10.86,25,48.97,43,445.98,203,0
10029,46,Female,2,91,15.11,2,39.24,4,103.0,354,0
10030,41,Male,2,23,18.62,12,26.02,53,86.68,83,0
10031,41,Female,3,7,19.79,6,44.8,115,209.98,109,0
10032,30,Female,1,35,16.55,14,21.43,80,102.48,179,0
10033,22,Male,1,103,11.9,25,34.24,76,176.17,309,0
10034,47,Female,1,61,10.93,7,29.42,108,377.61,200,1
10035,65,Male,3,94,14.1,10,33.75,10,191.76,265,0
10036,21,Female,2,58,18.5,12,39.96,66,192.32,299,0
10037,63,Male,2,59,13.54,21,26.27,38,205.37,326,0
10038,61,Male,1,72,13.62,25,63.81,81,46.72,168,1
10039,32,Male,1,116,12.01,4,48.15,102,237.56,167,0
10040,51,Male,2,52,10.49,13,67.02,9,198.25,29,0
10041,26,Male,2,72,11.15,20,38.68,18,351.16,29,1
10042,58,Female,3,111,12.34,2,33.04,114,280.71,178,0
10043,55,Female,3,45,18.67,21,66.5,59,149.5,274,0
10044,36,Female,2,101,10.84,7,32.62,37,391.53,306,0
10045,21,Male,3,64,12.01,14,38.41,18,139.29,149,0
10046,69,Male,3,106,8.34,25,51.44,42,212.21,209,0
10047,41,Male,2,56,14.67,17,23.05,0,137.29,297,0
10048,65,Female,2,76,17.27,25,51.31,26,250.88,116,0
10049,53,Female,3,39,18.3,16,49.46,21,130.47,58,1
10050,59,Male,1,76,12.61,7,59.41,10,632.62,337,0
10051,58,Female,3,39,14.1,18,53.91,116,844.15,199,1
10052,28,Male,1,73,11.19,16,59.85,94,346.01,56,0
10053,37,Male,2,95,13.91,9,39.4,112,582.31,92,1
10054,42,Male,3,52,13.06,3,28.49,28,52.68,119,0
10055,44,Male,2,51,12.03,17,71.59,34,57.75,73,0
10056,20,Female,2,38,12.35,15,18.86,33,136.18,159,0
10057,46,Female,2,88,13.61,20,20.32,67,180.72,297,0
10058,26,Male,1,71,10.62,5,49.19,21,149.93,270,0
10059,57,Female,1,62,10.83,14,64.56,28,48.61,335,0
10060,54,Female,1,3,18.63,21,43.75,116,429.67,305,1
10061,66,Female,2,13,22.64,23,55.49,42,939.23,113,1
10062,57,Female,2,0,6.98,24,12.06,93,475.3,21,1
10063,37,Male,1,102,6.76,7,33.76,27,408.09,55,0
10064,69,Female,3,103,7.97,6,13.83,111,208.75,289,0
10065,39,Male,2,8,11.39,15,52.32,83,90.67,124,0
10066,35,Female,2,5,15.38,13,18.57,103,185.19,263,0
10067,65,Male,2,94,14.17,7,22.47,61,904.29,167,1
10068,37,Female,1,63,12.49,4,48.45,108,132.98,327,0
10069,22,Male,2,37,13.92,5,56.4,43,122.72,185,0
10070,42,Male,2,74,9.03,10,38.69,57,415.08,329,0
10071,60,Female,1,28,10.82,19,49.27,7,437.14,91,0
10072,28,Female,3,23,11.72,3,48.8,20,90.33,284,0
10073,42,Male,3,44,5.46,4,37.88,92,142.71,191,0
10074,24,Female,2,108,7.15,8,25.13,39,118.31,69,0
10075,54,Female,3,92,7.31,22,49.19,12,184.78,85,0
10076,43,Male,3,23,14.86,25,49.89,35,413.92,114,0
10077,35,Female,2,67,12.78,12,53.96,42,93.47,56,0
10078,30,Male,2,107,14.24,3,45.52,86,409.41,342,0
10079,47,Female,2,115,4.44,2,24.06,10,189.44,77,0
10080,53,Male,1,92,5.87,22,51.01,3,1074.08,218,1
10081,67,Male,1,15,14.45,12,40.98,86,224.41,208,0
10082,41,Female,1,29,0.69,3,34.0,17,162.26,197,0
10083,26,Female,2,26,16.7,22,36.73,50,273.98,229,0
10084,62,Female,3,18,4.51,14,30.99,81,134.53,335,0
10085,51,Female,3,21,15.17,10,53.89,61,43.14,354,0
10086,55,Female,1,38,8.25,12,20.44,14,145.06,319,0
10087,23,Female,1,67,16.0,7,26.59,86,143.29,168,0
10088,34,Female,2,48,24.63,24,36.23,5,50.54,266,0
10089,58,Male,2,50,2.71,20,64.4,27,165.31,68,0
10090,62,Male,3,29,14.58,6,56.29,13,34.9,322,0
10091,41,Male,3,18,4.57,19,17.21,61,133.43,71,0
10092,60,Female,3,120,13.51,6,60.59,82,211.62,41,0
10093,62,Male,3,72,10.97,12,60.57,77,188.75,303,0
10094,38,Male,3,27,12.32,19,23.98,16,127.0,277,0
10095,65,Female,2,98,8.15,2,4.44,41,163.71,50,0
10096,33,Male,1,100,14.92,19,39.95,17,94.94,353,0
10097,30,Male,1,116,6.01,7,57.28,41,176.48,40,0
10098,54,Female,2,19,16.77,18,64.07,27,183.11,17,0
10099,51,Female,1,77,10.16,13,28.37,88,86.71,349,0
10100,25,Male,1,118,6.19,2,66.4,90,215.64,81,0
10101,62,Male,3,97,18.18,20,8.69,98,214.59,85,1
